Date;Gold price (per ounce);USDtoVND
1/4/24;2214,4;24805,0
2/4/24;2264,5;24915,0
3/4/24;2280,2;25010,0
4/4/24;2293,5;24950,0
5/4/24;2298,6;24965,0
8/4/24;2320,3;24962,5
9/4/24;2356,1;24955,0
10/4/24;2333,0;24945,0
11/4/24;2345,7;24990,0
12/4/24;2401,5;25037,5
15/4/24;2344,2;25195,0
16/4/24;2369,2;25290,0
17/4/24;2390,4;25405,0
18/4/24;2382,7;25405,0
19/4/24;2379,7;25445,0
22/4/24;2335,0;25460,0
23/4/24;2328,5;25445,0
24/4/24;2320,3;25420,0
25/4/24;2318,7;25360,0
26/4/24;2343,1;25345,0
29/4/24;2333,6;25345,0
30/4/24;2307,0;25345,0
1/5/24;2302,4;25345,0
2/5/24;2288,9;25405,0
3/5/24;2294,5;25415,0
6/5/24;2294,5;25380,0
7/5/24;2319,6;25410,0
8/5/24;2309,1;25432,5
9/5/24;2325,7;25447,5
10/5/24;2372,5;25455,0
13/5/24;2343,8;25453,5
14/5/24;2354,9;25457,5
15/5/24;2357,5;25452,5
16/5/24;2377,4;25441,5
17/5/24;2402,6;25449,0
20/5/24;2420,3;25455,0
21/5/24;2427,3;25462,0
22/5/24;2407,9;25465,0
23/5/24;2357,4;25469,5
24/5/24;2342,7;25471,0
27/5/24;2342,7;25452,5
28/5/24;2350,7;25453,0
29/5/24;2343,4;25457,5
30/5/24;2348,6;25457,5
31/5/24;2348,3;25450,0
3/6/24;2337,7;25438,5
4/6/24;2326,0;25415,0
5/6/24;2340,1;25422,5
6/6/24;2360,6;25427,5
7/6/24;2310,8;25410,0
10/6/24;2304,4;25422,5
11/6/24;2316,5;25442,5
12/6/24;2326,3;25442,5
13/6/24;2310,8;25442,5
14/6/24;2330,5;25455,0
17/6/24;2319,9;25450,0
18/6/24;2324,4;25452,5
19/6/24;2324,3;25452,5
20/6/24;2351,6;25455,0
21/6/24;2335,1;25455,0
24/6/24;2328,8;25458,5
25/6/24;2325,1;25460,0
26/6/24;2299,7;25466,5
27/6/24;2323,6;25457,5
28/6/24;2330,9;25455,0
1/7/24;2329,1;25456,0
2/7/24;2331,8;25455,0
3/7/24;2361,4;25455,0
4/7/24;2358,7;25455,0
5/7/24;2379,1;25417,0
8/7/24;2376,7;25420,0
9/7/24;2367,9;25418,0
10/7/24;2384,4;25417,5
11/7/24;2409,2;25425,0
12/7/24;2406,9;25415,0
15/7/24;2421,3;25370,0
16/7/24;2443,2;25380,0
17/7/24;2480,3;25325,0
18/7/24;2463,8;25317,5
19/7/24;2403,5;25327,5
22/7/24;2392,7;25335,0
23/7/24;2403,1;25365,0
24/7/24;2421,5;25360,0
25/7/24;2364,2;25295,0
26/7/24;2386,1;25315,0
29/7/24;2391,1;25285,0
30/7/24;2390,3;25285,0
31/7/24;2426,3;25247,5
1/8/24;2454,6;25225,0
2/8/24;2469,9;25217,5
5/8/24;2393,9;25097,5
6/8/24;2396,6;25140,0
7/8/24;2400,5;25165,0
8/8/24;2411,5;25144,0
9/8/24;2427,4;25105,0
12/8/24;2450,9;25130,0
13/8/24;2471,6;25125,0
14/8/24;2456,7;25035,0
15/8/24;2446,7;25045,0
16/8/24;2485,8;25060,0
19/8/24;2494,6;24972,5
20/8/24;2529,8;24925,0
21/8/24;2498,0;24940,0
22/8/24;2483,0;24972,5
23/8/24;2511,2;24977,5
26/8/24;2511,2;24872,5
27/8/24;2508,6;24830,0
28/8/24;2505,3;24865,0
29/8/24;2518,1;24880,0
30/8/24;2513,4;24875,0
2/9/24;2498,6;24875,0
3/9/24;2479,8;24875,0
4/9/24;2488,0;24862,0
5/9/24;2509,6;24740,0
6/9/24;2506,2;24615,0
9/9/24;2499,7;24695,0
10/9/24;2506,3;24670,0
11/9/24;2507,8;24565,0
12/9/24;2546,0;24587,5
13/9/24;2575,1;24545,0
16/9/24;2584,0;24545,0
17/9/24;2574,6;24635,0
18/9/24;2570,1;24625,0
19/9/24;2575,4;24580,0
20/9/24;2605,9;24605,0
23/9/24;2630,0;24620,0
24/9/24;2636,0;24605,0
25/9/24;2661,5;24595,0
26/9/24;2663,8;24625,0
27/9/24;2661,9;24610,0
30/9/24;2630,0;24565,0
1/10/24;2667,6;24610,0
2/10/24;2661,0;24665,0
3/10/24;2647,7;24755,0
4/10/24;2650,1;24770,0
7/10/24;2641,0;24855,0
8/10/24;2639,9;24845,0
9/10/24;2610,7;24835,0
10/10/24;2629,0;24845,0
11/10/24;2648,8;24820,0
